"","X.https...finance.yahoo.com.quote.CAI.","X.http...www.capps.com."
"191","https://finance.yahoo.com/quote/MIE","http://www.cohenandsteers.com"
"192","https://finance.yahoo.com/quote/RQI","http://www.cohenandsteers.com"
"193","https://finance.yahoo.com/quote/RNP","http://www.cohenandsteers.com"
"194","https://finance.yahoo.com/quote/PSF","http://www.cohenandsteers.com"
"195","https://finance.yahoo.com/quote/RFI","http://www.cohenandsteers.com"
"196","https://finance.yahoo.com/quote/CFX","http://www.colfaxcorp.com"
"197","https://finance.yahoo.com/quote/CFXA","http://www.colfaxcorp.com"
"198","https://finance.yahoo.com/quote/CL","http://www.colgatepalmolive.com"
"199","https://finance.yahoo.com/quote/CCH","http://www.colliercreekholdings.com"
"202","https://finance.yahoo.com/quote/CXE","http://www.mfs.com"
"203","https://finance.yahoo.com/quote/CIF","http://www.mfs.com"
"204","https://finance.yahoo.com/quote/CXH","http://www.mfs.com"
"205","https://finance.yahoo.com/quote/CMU","http://www.mfs.com"
"206","https://finance.yahoo.com/quote/CLNY","http://www.clny.com"
"213","https://finance.yahoo.com/quote/CLNC","http://www.clncredit.com"
"214","https://finance.yahoo.com/quote/CXP","http://www.columbia.reit"
"215","https://finance.yahoo.com/quote/STK","http://www.columbiathreadneedleus.com"
"217","https://finance.yahoo.com/quote/CMA","http://www.comerica.com"
"218","https://finance.yahoo.com/quote/FIX","http://www.comfortsystemsusa.com"
"219","https://finance.yahoo.com/quote/CMC","http://www.cmc.com"
"220","https://finance.yahoo.com/quote/CBU","http://cbna.com"
"221","https://finance.yahoo.com/quote/CYH","http://www.chs.net"
"222","https://finance.yahoo.com/quote/CHCT","http://www.chct.reit"
"223","https://finance.yahoo.com/quote/CIG","http://www.cemig.com.br"
"225","https://finance.yahoo.com/quote/CBD","http://www.gpari.com.br"
"226","https://finance.yahoo.com/quote/SBS","http://www.sabesp.com.br"
"227","https://finance.yahoo.com/quote/ELP","http://www.copel.com"
"228","https://finance.yahoo.com/quote/CCU","http://www.ccu.cl"
"229","https://finance.yahoo.com/quote/CODI","http://www.compassequity.com"
"232","https://finance.yahoo.com/quote/CMP","http://www.compassminerals.com"
"233","https://finance.yahoo.com/quote/CRK","http://www.crkfrisco.com"
"234","https://finance.yahoo.com/quote/CAG","http://www.conagrabrands.com"
"235","https://finance.yahoo.com/quote/CXO","http://www.concho.com"
"236","https://finance.yahoo.com/quote/CCM","http://www.concordmedical.com"
"237","https://finance.yahoo.com/quote/CNDT","http://www.conduent.com"
"238","https://finance.yahoo.com/quote/COP","http://www.conocophillips.com"
"239","https://finance.yahoo.com/quote/CCR","http://www.ccrlp.com"
"240","https://finance.yahoo.com/quote/ED","http://www.conedison.com"
"241","https://finance.yahoo.com/quote/STZ","http://www.cbrands.com"
"243","https://finance.yahoo.com/quote/CSTM","http://www.constellium.com"
"244","https://finance.yahoo.com/quote/TCS","http://www.containerstore.com"
"245","https://finance.yahoo.com/quote/CBPX","http://www.continental-bp.com"
"246","https://finance.yahoo.com/quote/CLR","http://www.clr.com"
"247","https://finance.yahoo.com/quote/VLRS","http://www.volaris.com"
"248","https://finance.yahoo.com/quote/CTRA","http://www.conturaenergy.com"
"249","https://finance.yahoo.com/quote/CTB","http://www.coopertire.com"
"250","https://finance.yahoo.com/quote/CPS","http://www.cooperstandard.com"
"251","https://finance.yahoo.com/quote/CTK","http://www.touchpal.com"
"252","https://finance.yahoo.com/quote/CPA","http://copa.gcs-web.com"
"253","https://finance.yahoo.com/quote/CLB","http://www.corelab.com"
"254","https://finance.yahoo.com/quote/CXW","http://www.corecivic.com"
"255","https://finance.yahoo.com/quote/CLGX","http://www.corelogic.com"
"256","https://finance.yahoo.com/quote/CORR","http://corenergy.reit"
"258","https://finance.yahoo.com/quote/CPLG","http://www.corepoint.com"
"259","https://finance.yahoo.com/quote/COR","http://www.CoreSite.com"
"260","https://finance.yahoo.com/quote/GLW","http://www.corning.com"
"261","https://finance.yahoo.com/quote/CAAP","http://www.caap.aero"
