"","X.https...finance.yahoo.com.quote.SJW.","X.http...www.sjwgroup.com."
"241","https://finance.yahoo.com/quote/TRI","http://www.thomsonreuters.com"
"242","https://finance.yahoo.com/quote/THO","http://www.thorindustries.com"
"243","https://finance.yahoo.com/quote/TDW","http://www.tdw.com"
"246","https://finance.yahoo.com/quote/TIER","http://www.tierreit.com"
"247","https://finance.yahoo.com/quote/TIF","http://www.tiffany.com"
"248","https://finance.yahoo.com/quote/TLYS","http://www.tillys.com"
"249","https://finance.yahoo.com/quote/TSU","http://www.tim.com.br"
"250","https://finance.yahoo.com/quote/TKR","http://www.timken.com"
"251","https://finance.yahoo.com/quote/TMST","http://www.timkensteel.com"
"252","https://finance.yahoo.com/quote/TWI","http://www.titan-intl.com"
"253","https://finance.yahoo.com/quote/TJX","http://www.tjx.com"
"254","https://finance.yahoo.com/quote/TOL","http://www.tollbrothers.com"
"255","https://finance.yahoo.com/quote/TR","http://www.tootsie.com"
"256","https://finance.yahoo.com/quote/BLD","http://www.topbuild.com"
"257","https://finance.yahoo.com/quote/TMK","http://www.torchmarkcorp.com"
"259","https://finance.yahoo.com/quote/TTC","http://www.thetorocompany.com"
"260","https://finance.yahoo.com/quote/TD","http://www.td.com"
"261","https://finance.yahoo.com/quote/SHLL","http://www.tortoisespac.com"
"264","https://finance.yahoo.com/quote/NDP","http://www.tortoiseadvisors.com"
"265","https://finance.yahoo.com/quote/TYG","http://www.tortoiseadvisors.com"
"267","https://finance.yahoo.com/quote/NTG","http://www.tortoiseadvisors.com"
"268","https://finance.yahoo.com/quote/TTP","http://closedendfunds.tortoiseadvisors.com"
"269","https://finance.yahoo.com/quote/TPZ","http://www.tortoiseadvisors.com"
"270","https://finance.yahoo.com/quote/TOT","http://www.total.com"
"271","https://finance.yahoo.com/quote/TSS","http://www.tsys.com"
"272","https://finance.yahoo.com/quote/TOWR","http://www.towerinternational.com"
"273","https://finance.yahoo.com/quote/TSQ","http://www.townsquaremedia.com"
"274","https://finance.yahoo.com/quote/TM","http://global.toyota/en"
"275","https://finance.yahoo.com/quote/TPGH","http://www.tpg.com"
"278","https://finance.yahoo.com/quote/TRTX","http://www.tpgrefinance.com"
"279","https://finance.yahoo.com/quote/TSLX","http://www.tpgspecialtylending.com"
"280","https://finance.yahoo.com/quote/TAC","http://www.transalta.com"
"281","https://finance.yahoo.com/quote/TCI","http://www.transconrealty-invest.com"
"282","https://finance.yahoo.com/quote/TDG","http://www.transdigm.com"
"283","https://finance.yahoo.com/quote/RIG","http://www.deepwater.com"
"284","https://finance.yahoo.com/quote/TGS","http://www.tgs.com.ar"
"285","https://finance.yahoo.com/quote/TRU","http://www.transunion.com"
"286","https://finance.yahoo.com/quote/TVPT","http://www.travelport.com"
"287","https://finance.yahoo.com/quote/TREC","http://www.trecora.com"
"288","https://finance.yahoo.com/quote/TG","http://www.tredegar.com"
"289","https://finance.yahoo.com/quote/THS","http://www.treehousefoods.com"
"290","https://finance.yahoo.com/quote/TREX","http://www.trex.com"
"291","https://finance.yahoo.com/quote/TY","http://www.columbiathreadneedleus.com"
"293","https://finance.yahoo.com/quote/TPH","http://www.tripointegroup.com"
"294","https://finance.yahoo.com/quote/TRCO","http://www.tribunemedia.com"
"298","https://finance.yahoo.com/quote/TNET","http://www.trinet.com"
"299","https://finance.yahoo.com/quote/TRN","http://www.trin.net"
"300","https://finance.yahoo.com/quote/TSE","http://www.trinseo.com"
"301","https://finance.yahoo.com/quote/TPVG","http://www.tpvg.com"
"303","https://finance.yahoo.com/quote/GTS","http://management.grupotriples.com"
"304","https://finance.yahoo.com/quote/TRTN","http://www.trtn.com"
"306","https://finance.yahoo.com/quote/TGI","http://www.triumphgroup.com"
"307","https://finance.yahoo.com/quote/TROX","http://www.tronox.com"
"308","https://finance.yahoo.com/quote/TBI","http://www.trueblue.com"
"309","https://finance.yahoo.com/quote/TNP","http://www.tenn.gr"
"315","https://finance.yahoo.com/quote/TUFN","http://www.tufin.com"
"316","https://finance.yahoo.com/quote/TUP","http://www.tupperwarebrands.com"
"317","https://finance.yahoo.com/quote/TKC","http://www.turkcell.com.tr"
"318","https://finance.yahoo.com/quote/TPB","http://www.turningpointbrands.com"
"319","https://finance.yahoo.com/quote/TRQ","http://www.turquoisehill.com"
"320","https://finance.yahoo.com/quote/TPC","http://www.tutorperini.com"
"321","https://finance.yahoo.com/quote/TWLO","http://www.twilio.com"
"322","https://finance.yahoo.com/quote/TRWH","http://www.twinriverwwholdings.com"
"323","https://finance.yahoo.com/quote/TWTR","http://www.twitter.com"
"324","https://finance.yahoo.com/quote/TWO","http://www.twoharborsinvestment.com"
"330","https://finance.yahoo.com/quote/TYL","http://www.tylertech.com"
"331","https://finance.yahoo.com/quote/TSN","http://www.tysonfoods.com"
"332","https://finance.yahoo.com/quote/USB","http://www.usbank.com"
"338","https://finance.yahoo.com/quote/USPH","http://www.usph.com"
"339","https://finance.yahoo.com/quote/SLCA","http://www.ussilica.com"
"340","https://finance.yahoo.com/quote/USX","http://www.usxpress.com"
"341","https://finance.yahoo.com/quote/UBER","http://www.uber.com"
"342","https://finance.yahoo.com/quote/UBS","http://www.ubs.com"
"343","https://finance.yahoo.com/quote/UDR","http://www.udr.com"
"344","https://finance.yahoo.com/quote/UGI","http://www.ugicorp.com"
"345","https://finance.yahoo.com/quote/UGP","http://www.ultra.com.br"
"346","https://finance.yahoo.com/quote/UMH","http://www.umh.reit"
"350","https://finance.yahoo.com/quote/UA","http://www.underarmour.com"
"351","https://finance.yahoo.com/quote/UAA","http://www.underarmour.com"
"352","https://finance.yahoo.com/quote/UFI","http://www.unifi.com"
"353","https://finance.yahoo.com/quote/UNF","http://www.unifirst.com"
"354","https://finance.yahoo.com/quote/UN","http://www.unilever.nl"
"355","https://finance.yahoo.com/quote/UL","http://www.unilever.com"
"356","https://finance.yahoo.com/quote/UNP","http://www.up.com"
"357","https://finance.yahoo.com/quote/UIS","http://www.unisys.com"
"358","https://finance.yahoo.com/quote/UNT","http://www.unitcorp.com"
"359","https://finance.yahoo.com/quote/UMC","http://www.umc.com"
"360","https://finance.yahoo.com/quote/UNFI","http://www.unfi.com"
"361","https://finance.yahoo.com/quote/UPS","http://www.ups.com"
"362","https://finance.yahoo.com/quote/URI","http://www.unitedrentals.com"
"363","https://finance.yahoo.com/quote/USM","http://www.uscellular.com"
"367","https://finance.yahoo.com/quote/X","http://www.ussteel.com"
"368","https://finance.yahoo.com/quote/UTX","http://www.utc.com"
"369","https://finance.yahoo.com/quote/UNH","http://www.unitedhealthgroup.com"
"370","https://finance.yahoo.com/quote/UTL","http://www.unitil.com"
"371","https://finance.yahoo.com/quote/UNVR","http://www.univar.com"
"372","https://finance.yahoo.com/quote/UVV","http://www.universalcorp.com"
"373","https://finance.yahoo.com/quote/UHT","http://www.uhrit.com"
"374","https://finance.yahoo.com/quote/UHS","http://www.uhsinc.com"
"375","https://finance.yahoo.com/quote/UVE","http://www.universalinsuranceholdings.com"
"376","https://finance.yahoo.com/quote/UTI","http://www.uti.edu"
"377","https://finance.yahoo.com/quote/UNM","http://www.unum.com"
"379","https://finance.yahoo.com/quote/UE","http://www.uedge.com"
"380","https://finance.yahoo.com/quote/UBA","http://www.ubproperties.com"
"381","https://finance.yahoo.com/quote/UBP","http://www.ubproperties.com"
"384","https://finance.yahoo.com/quote/USFD","http://www.usfoods.com"
"385","https://finance.yahoo.com/quote/USAC","http://www.usacompression.com"
"386","https://finance.yahoo.com/quote/USNA","http://www.usana.com"
"387","https://finance.yahoo.com/quote/USDP","http://www.usdpartners.com"
"388","https://finance.yahoo.com/quote/BIF","http://www.boulderfunds.net"
"389","https://finance.yahoo.com/quote/VFC","http://www.vfc.com"
"391","https://finance.yahoo.com/quote/EGY","http://www.vaalco.com"
"392","https://finance.yahoo.com/quote/MTN","http://www.vailresorts.com"
"393","https://finance.yahoo.com/quote/VALE","http://www.vale.com"
"394","https://finance.yahoo.com/quote/VLO","http://www.valero.com"
"395","https://finance.yahoo.com/quote/VHI","http://www.valhi.net"
"396","https://finance.yahoo.com/quote/VMI","http://www.valmont.com"
"397","https://finance.yahoo.com/quote/VVV","http://www.valvoline.com"
"398","https://finance.yahoo.com/quote/VAPO","http://www.vapotherm.com"
"399","https://finance.yahoo.com/quote/VAR","http://www.varian.com"
"400","https://finance.yahoo.com/quote/VGR","http://www.vectorgroupltd.com"
"401","https://finance.yahoo.com/quote/VEC","http://www.vectrus.com"
"402","https://finance.yahoo.com/quote/VEDL","http://www.vedantalimited.com"
"403","https://finance.yahoo.com/quote/VEEV","http://www.veeva.com"
"404","https://finance.yahoo.com/quote/VNTR","http://www.venatorcorp.com"
"405","https://finance.yahoo.com/quote/VTR","http://www.ventasreit.com"
"406","https://finance.yahoo.com/quote/VNE","http://www.veoneer.com"
"407","https://finance.yahoo.com/quote/VER","http://www.vereit.com"
"409","https://finance.yahoo.com/quote/VRTV","http://www.veritivcorp.com"
"410","https://finance.yahoo.com/quote/VZ","http://www.verizon.com"
"411","https://finance.yahoo.com/quote/VET","http://www.vermilionenergy.com"
"412","https://finance.yahoo.com/quote/VRS","http://www.versoco.com"
"413","https://finance.yahoo.com/quote/VSM","http://www.versummaterials.com"
"414","https://finance.yahoo.com/quote/VVI","http://www.viad.com"
"415","https://finance.yahoo.com/quote/VICI","http://www.viciproperties.com"
"416","https://finance.yahoo.com/quote/VNCE","http://www.vince.com"
"417","https://finance.yahoo.com/quote/VIPS","http://www.vip.com"
"418","https://finance.yahoo.com/quote/ZTR","http://www.virtus.com"
"419","https://finance.yahoo.com/quote/VGI","http://www.virtus.com"
"420","https://finance.yahoo.com/quote/ZF","http://www.virtus.com"
"421","https://finance.yahoo.com/quote/V","http://usa.visa.com"
"422","https://finance.yahoo.com/quote/VSH","http://www.vishay.com"
"423","https://finance.yahoo.com/quote/VPG","http://vpgsensors.com"
"424","https://finance.yahoo.com/quote/VSTO","http://www.vistaoutdoor.com"
"425","https://finance.yahoo.com/quote/DYNC","http://www.vistraenergy.com"
"426","https://finance.yahoo.com/quote/VST","http://www.vistraenergy.com"
"428","https://finance.yahoo.com/quote/VSI","http://www.vitaminshoppe.com"
"429","https://finance.yahoo.com/quote/VSLR","http://www.vivintsolar.com"
"430","https://finance.yahoo.com/quote/VMW","http://www.vmware.com"
"432","https://finance.yahoo.com/quote/VCRA","http://www.vocera.com"
"433","https://finance.yahoo.com/quote/VG","http://www.vonage.com"
"434","https://finance.yahoo.com/quote/VNO","http://www.vno.com"
"438","https://finance.yahoo.com/quote/VJET","http://www.voxeljet.com"
"439","https://finance.yahoo.com/quote/IAE","http://investments.voya.com"
"440","https://finance.yahoo.com/quote/IHD","http://investments.voya.com"
"441","https://finance.yahoo.com/quote/VOYA","http://www.voya.com"
"442","https://finance.yahoo.com/quote/IGA","http://investments.voya.com"
"443","https://finance.yahoo.com/quote/IGD","http://investments.voya.com"
"444","https://finance.yahoo.com/quote/IDE","http://investments.voya.com"
"445","https://finance.yahoo.com/quote/IID","http://investments.voya.com"
"446","https://finance.yahoo.com/quote/IRR","http://investments.voya.com"
"447","https://finance.yahoo.com/quote/PPR","http://investments.voya.com"
"448","https://finance.yahoo.com/quote/VMC","http://www.vulcanmaterials.com"
"449","https://finance.yahoo.com/quote/WTI","http://www.wtoffshore.com"
"450","https://finance.yahoo.com/quote/WPC","http://www.wpcarey.com"
"451","https://finance.yahoo.com/quote/WRB","http://www.berkley.com"
"456","https://finance.yahoo.com/quote/GRA","http://www.grace.com"
"457","https://finance.yahoo.com/quote/GWW","http://www.grainger.com"
"458","https://finance.yahoo.com/quote/WNC","http://www.wabashnational.com"
"459","https://finance.yahoo.com/quote/WBC","http://www.wabco-auto.com"
"460","https://finance.yahoo.com/quote/WDR","http://www.waddell.com"
"461","https://finance.yahoo.com/quote/WAGE","http://www.wageworks.com"
"462","https://finance.yahoo.com/quote/WD","http://www.walkerdunlop.com"
"463","https://finance.yahoo.com/quote/WMT","http://www.stock.walmart.com"
"464","https://finance.yahoo.com/quote/DIS","http://www.thewaltdisneycompany.com"
"465","https://finance.yahoo.com/quote/HCC","http://warriormetcoal.com"
"466","https://finance.yahoo.com/quote/WPG","http://www.washingtonprime.com"
"469","https://finance.yahoo.com/quote/WRE","http://www.washreit.com"
"470","https://finance.yahoo.com/quote/WCN","http://www.wasteconnections.com"
"471","https://finance.yahoo.com/quote/WM","http://www.wm.com"
"472","https://finance.yahoo.com/quote/WAT","http://www.waters.com"
"473","https://finance.yahoo.com/quote/WSO","http://www.watsco.com"
"475","https://finance.yahoo.com/quote/WTS","http://www.watts.com"
"476","https://finance.yahoo.com/quote/W","http://www.wayfair.com"
"477","https://finance.yahoo.com/quote/WBS","http://public.websteronline.com"
"479","https://finance.yahoo.com/quote/WEC","http://www.wecenergygroup.com"
"480","https://finance.yahoo.com/quote/WEI","http://www.weidai.com.cn"
"481","https://finance.yahoo.com/quote/WRI","http://www.weingarten.com"
"482","https://finance.yahoo.com/quote/WMK","http://www.weismarkets.com"
"483","https://finance.yahoo.com/quote/WBT","http://www.welbilt.com"
"484","https://finance.yahoo.com/quote/WCG","http://www.wellcare.com"
"485","https://finance.yahoo.com/quote/WFC","http://www.wellsfargo.com"
"498","https://finance.yahoo.com/quote/EOD","http://www.wellsfargoadvantagefunds.com"
"499","https://finance.yahoo.com/quote/WELL","http://www.welltower.com"
"500","https://finance.yahoo.com/quote/WAIR","http://www.wescoair.com"
"501","https://finance.yahoo.com/quote/WCC","http://www.wesco.com"
"502","https://finance.yahoo.com/quote/WST","http://www.westpharma.com"
"503","https://finance.yahoo.com/quote/WAL","http://www.westernalliancebancorporation.com"
"505","https://finance.yahoo.com/quote/WEA","http://institutional.myleggmason.com"
"506","https://finance.yahoo.com/quote/TLI","http://individualinvestor.myleggmason.com"
"507","https://finance.yahoo.com/quote/EMD","http://individualinvestor.myleggmason.com"
"508","https://finance.yahoo.com/quote/GDO","http://institutional.myleggmason.com"
"509","https://finance.yahoo.com/quote/EHI","http://institutional.myleggmason.com"
"510","https://finance.yahoo.com/quote/HIX","http://institutional.myleggmason.com"
"511","https://finance.yahoo.com/quote/HIO","http://institutional.myleggmason.com"
"512","https://finance.yahoo.com/quote/HYI","http://institutional.myleggmason.com"
"513","https://finance.yahoo.com/quote/SBI","http://individualinvestor.myleggmason.com"
"514","https://finance.yahoo.com/quote/IGI","http://individualinvestor.myleggmason.com"
"515","https://finance.yahoo.com/quote/PAI","http://institutional.myleggmason.com"
"516","https://finance.yahoo.com/quote/MMU","http://individualinvestor.myleggmason.com"
"517","https://finance.yahoo.com/quote/WMC","http://www.westernassetmcc.com"
"518","https://finance.yahoo.com/quote/DMO","http://individualinvestor.myleggmason.com"
"519","https://finance.yahoo.com/quote/MTT","http://individualinvestor.myleggmason.com"
"520","https://finance.yahoo.com/quote/MHF","http://individualinvestor.myleggmason.com"
"521","https://finance.yahoo.com/quote/MNP","http://www.leggmason.com"
"522","https://finance.yahoo.com/quote/GFY","http://individualinvestor.myleggmason.com"
"523","https://finance.yahoo.com/quote/WIW","http://guggenheiminvestments.com"
"524","https://finance.yahoo.com/quote/WIA","http://guggenheiminvestments.com"
"525","https://finance.yahoo.com/quote/WES","http://www.westernmidstream.com"
"526","https://finance.yahoo.com/quote/WU","http://www.westernunion.com"
"527","https://finance.yahoo.com/quote/WAB","http://www.wabtec.com"
"528","https://finance.yahoo.com/quote/WLK","http://www.westlake.com"
"529","https://finance.yahoo.com/quote/WLKP","http://www.wlkpartners.com"
"530","https://finance.yahoo.com/quote/WBK","http://www.westpac.com.au"
"531","https://finance.yahoo.com/quote/WRK","http://www.westrock.com"
"532","https://finance.yahoo.com/quote/WHG","http://www.westwoodgroup.com"
"533","https://finance.yahoo.com/quote/WEX","http://www.wexinc.com"
