"","X.https...finance.yahoo.com.quote.JPM.C.","X.."
"162","https://finance.yahoo.com/quote/LNC","http://www.lfg.com"
"164","https://finance.yahoo.com/quote/LIN","http://www.linde.com"
"165","https://finance.yahoo.com/quote/LNN","http://www.lindsay.com"
"166","https://finance.yahoo.com/quote/LN","http://linecorp.com"
"169","https://finance.yahoo.com/quote/LAD","http://www.lithiainvestorrelations.com"
"170","https://finance.yahoo.com/quote/LAC","http://www.lithiumamericas.com"
"171","https://finance.yahoo.com/quote/LYV","http://www.livenationentertainment.com"
"172","https://finance.yahoo.com/quote/LTHM","http://www.livent.com"
"173","https://finance.yahoo.com/quote/RAMP","http://www.liveramp.com"
"174","https://finance.yahoo.com/quote/LYG","http://www.lloydsbankinggroup.com"
"175","https://finance.yahoo.com/quote/SCD","http://www.leggmason.com"
"176","https://finance.yahoo.com/quote/LMT","http://www.lockheedmartin.com"
"177","https://finance.yahoo.com/quote/L","http://www.loews.com"
"178","https://finance.yahoo.com/quote/LOMA","http://www.lomanegra.com"
"179","https://finance.yahoo.com/quote/LPX","http://www.lpcorp.com"
"180","https://finance.yahoo.com/quote/LOW","http://www.lowes.com"
"181","https://finance.yahoo.com/quote/LXU","http://www.lsbindustries.com"
"182","https://finance.yahoo.com/quote/LKSD","http://www.lsccom.com"
"183","https://finance.yahoo.com/quote/LTC","http://www.LTCreit.com"
"184","https://finance.yahoo.com/quote/LUB","http://www.lubysinc.com"
"185","https://finance.yahoo.com/quote/LL","http://www.lumberliquidators.com"
"186","https://finance.yahoo.com/quote/LXFR","http://www.luxfer.com"
"187","https://finance.yahoo.com/quote/LXFT","http://www.luxoft.com"
"188","https://finance.yahoo.com/quote/LDL","http://www.lydall.com"
"189","https://finance.yahoo.com/quote/WLH","http://www.lyonhomes.com"
"190","https://finance.yahoo.com/quote/LYB","http://www.lyondellbasell.com"
"191","https://finance.yahoo.com/quote/MTB","http://www.mtb.com"
"194","https://finance.yahoo.com/quote/MDC","http://ir.richmondamerican.com"
"195","https://finance.yahoo.com/quote/MHO","http://www.mihomes.com"
"196","https://finance.yahoo.com/quote/MAC","http://www.macerich.com"
"197","https://finance.yahoo.com/quote/CLI","http://www.mack-cali.com"
"198","https://finance.yahoo.com/quote/MFD","http://www.ftportfolios.com"
"199","https://finance.yahoo.com/quote/MGU","http://www.macquarie.com"
"200","https://finance.yahoo.com/quote/MIC","http://www.macquarie.com"
"201","https://finance.yahoo.com/quote/BMA","http://www.macro.com.ar"
"202","https://finance.yahoo.com/quote/M","http://www.macysinc.com"
"203","https://finance.yahoo.com/quote/MCN","http://www.madisonfunds.com"
"204","https://finance.yahoo.com/quote/MMP","http://www.magellanlp.com"
"205","https://finance.yahoo.com/quote/MGA","http://www.magna.com"
"206","https://finance.yahoo.com/quote/MX","http://www.magnachip.com"
"207","https://finance.yahoo.com/quote/MGY","http://www.magnoliaoilgas.com"
"214","https://finance.yahoo.com/quote/MAIN","http://www.mainstcapital.com"
"215","https://finance.yahoo.com/quote/MMD","http://www.nylinvestments.com"
"216","https://finance.yahoo.com/quote/MNK","http://www.mallinckrodt.com"
"217","https://finance.yahoo.com/quote/MANU","http://www.manutd.com"
"218","https://finance.yahoo.com/quote/MTW","http://www.manitowoccranes.com"
"219","https://finance.yahoo.com/quote/MN","http://www.manning-napier.com"
