"","X.https...finance.yahoo.com.quote.SJW.","X.http...www.sjwgroup.com."
"814","https://finance.yahoo.com/quote/HNW",""
"818","https://finance.yahoo.com/quote/PLYM^A",""
"821","https://finance.yahoo.com/quote/PW^A",""
"827","https://finance.yahoo.com/quote/RHE^A",""
"844","https://finance.yahoo.com/quote/SCE^B",""
"845","https://finance.yahoo.com/quote/SCE^C",""
"846","https://finance.yahoo.com/quote/SCE^D",""
"847","https://finance.yahoo.com/quote/SCE^E",""
"856","https://finance.yahoo.com/quote/TALO.WS",""
"861","https://finance.yahoo.com/quote/GLU^A",""
"862","https://finance.yahoo.com/quote/GLU^B",""
"864","https://finance.yahoo.com/quote/GGO^A",""
"865","https://finance.yahoo.com/quote/TDW.WS",""
"882","https://finance.yahoo.com/quote/EAD",""
"883","https://finance.yahoo.com/quote/ERC",""
"884","https://finance.yahoo.com/quote/ERH",""
