"","X.https...finance.yahoo.com.quote.CAI.","X.http...www.capps.com."
"854","https://finance.yahoo.com/quote/HEI.A",""
"859","https://finance.yahoo.com/quote/HCXY",""
"860","https://finance.yahoo.com/quote/HCXZ",""
"864","https://finance.yahoo.com/quote/HT^C",""
"865","https://finance.yahoo.com/quote/HT^D",""
"866","https://finance.yahoo.com/quote/HT^E",""
"876","https://finance.yahoo.com/quote/HGLB",""
"888","https://finance.yahoo.com/quote/HMLP^A",""
"896","https://finance.yahoo.com/quote/HTFA",""
"905","https://finance.yahoo.com/quote/HSBC^A",""
"934","https://finance.yahoo.com/quote/ISF.CL",""
"935","https://finance.yahoo.com/quote/ISG",""
"940","https://finance.yahoo.com/quote/IIPR^A",""
"953","https://finance.yahoo.com/quote/IFFT",""
"957","https://finance.yahoo.com/quote/INSW^A",""
"966","https://finance.yahoo.com/quote/IHTA",""
"969","https://finance.yahoo.com/quote/IVR^B",""
"970","https://finance.yahoo.com/quote/IVR^C",""
"971","https://finance.yahoo.com/quote/IVR^A",""
"983","https://finance.yahoo.com/quote/IRET^C",""
"992","https://finance.yahoo.com/quote/STAR^D",""
"993","https://finance.yahoo.com/quote/STAR^G",""
"994","https://finance.yahoo.com/quote/STAR^I",""
"1000","https://finance.yahoo.com/quote/JPM^A",""
