Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,CIK,SIC
LORL,"Loral Space and Communications, Inc.",35.51,1098421988,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/lorl,NASDAQ,1006269,3663
LPLA,LPL Financial Holdings Inc.,84.91,7084426537,,2010,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/lpla,NASDAQ,1397911,6200
LRAD,LRAD Corporation,3.44,112048085.9,,,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/lrad,NASDAQ,924383,3651
LYTS,LSI Industries Inc.,3.54,91819351.8,,1985,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/lyts,NASDAQ,763532,3640
LK,Luckin Coffee Inc.,15.32,459600000,30000000,2019,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/lk,NASDAQ,1767582,5810
LULU,lululemon athletica inc.,172.78,22508088093,,2007,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/lulu,NASDAQ,1397187,2300
LITE,Lumentum Holdings Inc.,44.41,3392924000,,,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/lite,NASDAQ,1633978,3669
LMNX,Luminex Corporation,20.79,935079189.7,,2000,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/lmnx,NASDAQ,1033905,3841
LUNA,Luna Innovations Incorporated,4.35,122436026.6,,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/luna,NASDAQ,1239819,8731
LKCO,Luokung Technology Corp,6.65,1325461761,,,Technology,EDP Services,https://www.nasdaq.com/symbol/lkco,NASDAQ,1487839,7371
LBC,Luther Burbank Corporation,10.14,571060717.5,,2003,Finance,Major Banks,https://www.nasdaq.com/symbol/lbc,NASDAQ,1475348,6022
LYFT,"Lyft, Inc.",57.1,16593725194,,2019,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/lyft,NASDAQ,1759509,7389
MBTF,M B T Financial Corp,9.45,217697363.1,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mbtf,NASDAQ,1118237,6021
MCBC,Macatawa Bank Corporation,10.48,356777944.6,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mcbc,NASDAQ,1053584,6022
MFNC,Mackinac Financial Corporation,15.12,162399565.4,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mfnc,NASDAQ,36506,6022
MTSI,"MACOM Technology Solutions Holdings, Inc.",14.01,920462730.1,,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/mtsi,NASDAQ,1493594,3674
MGNX,"MacroGenics, Inc.",18.85,919985937,,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mgnx,NASDAQ,1125345,2834
MDGL,"Madrigal Pharmaceuticals, Inc.",98.36,1516550283,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mdgl,NASDAQ,1157601,2834
MAGS,Magal Security Systems Ltd.,4.97,115025605.5,,1993,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/mags,NASDAQ,896494,3669
MGLN,"Magellan Health, Inc.",67.52,1623441292,,,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/mgln,NASDAQ,19411,8060
MGTA,"Magenta Therapeutics, Inc.",16.97,666831483.3,,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mgta,NASDAQ,1690585,2834
MGIC,Magic Software Enterprises Ltd.,8.68,424374209.8,,1991,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mgic,NASDAQ,876779,7372
MGYR,"Magyar Bancorp, Inc.",11.6,67520653.6,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/mgyr,NASDAQ,1337068,6035
MHLD,"Maiden Holdings, Ltd.",0.625,51900709.38,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/mhld,NASDAQ,1412100,6331
MNSB,"MainStreet Bancshares, Inc.",23.65,195118625.4,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mnsb,NASDAQ,1693577,6022
MJCO,Majesco,8.09,347152198.6,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mjco,NASDAQ,1626853,7372
MMYT,MakeMyTrip Limited,24.01,1424825430,,2010,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/mmyt,NASDAQ,1495153,4700
MBUU,"Malibu Boats, Inc.",37.63,784627344.6,,2014,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/mbuu,NASDAQ,1590976,3730
MLVF,"Malvern Bancorp, Inc.",20.3,158012479.8,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/mlvf,NASDAQ,1550603,6035
MAMS,"MAM Software Group, Inc.",8.93,112646368.8,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mams,NASDAQ,832488,7372
TUSK,"Mammoth Energy Services, Inc.",11.74,526851859.3,,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/tusk,NASDAQ,1679268,1389
MANH,"Manhattan Associates, Inc.",66.01,4263883341,,1998,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/manh,NASDAQ,1056696,7372
LOAN,"Manhattan Bridge Capital, Inc",6.05,58442860.85,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/loan,NASDAQ,1080340,6798
MNTX,"Manitex International, Inc.",6.45,126953498.9,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mntx,NASDAQ,1302028,3559
MTEX,"Mannatech, Incorporated",17.32,41485193.08,,,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/mtex,NASDAQ,1056358,2833
MNKD,MannKind Corporation,1.17,219705616.3,,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnkd,NASDAQ,899460,2834
MANT,ManTech International Corporation,61.55,1642957843,,2002,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/mant,NASDAQ,892537,8741
MARA,"Marathon Patent Group, Inc.",2.98,19028506.9,,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/mara,NASDAQ,1507605,6794
MCHX,"Marchex, Inc.",5.08,215168231.1,,2004,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/mchx,NASDAQ,1224133,7389
MRIN,Marin Software Incorporated,2.95,17726550,,,Technology,EDP Services,https://www.nasdaq.com/symbol/mrin,NASDAQ,1389002,7374
MARPS,Marine Petroleum Trust,2.43,4860000,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/marps,NASDAQ,62362,6792
MRNS,"Marinus Pharmaceuticals, Inc.",4.37,229663711.3,,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrns,NASDAQ,1267813,2834
MRKR,"Marker Therapeutics, Inc.",5.84,265629380.7,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrkr,NASDAQ,1094038,2834
MKTX,"MarketAxess Holdings, Inc.",288.32,10868938875,,2004,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/mktx,NASDAQ,1278021,6211
MRLN,Marlin Business Services Corp.,23.47,289831569.8,,2003,Finance,Major Banks,https://www.nasdaq.com/symbol/mrln,NASDAQ,1260968,6022
MAR,Marriott International,125,41623604250,,,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/mar,NASDAQ,1048286,7011
MBII,"Marrone Bio Innovations, Inc.",1.65,182695608.2,,2013,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/mbii,NASDAQ,1441693,2870
MRTN,"Marten Transport, Ltd.",18.99,1037049065,,1986,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/mrtn,NASDAQ,799167,4213
MMLP,Martin Midstream Partners L.P.,7.13,278420660.5,,2002,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/mmlp,NASDAQ,1176334,5171
MRVL,Marvell Technology Group Ltd.,21.92,14496742220,,2000,Technology,Semiconductors,https://www.nasdaq.com/symbol/mrvl,NASDAQ,1058057,3674
MASI,Masimo Corporation,138.97,7414889991,,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/masi,NASDAQ,937556,3845
MCFT,"MasterCraft Boat Holdings, Inc.",21.7,406317852.5,,2015,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/mcft,NASDAQ,1638290,3730
MTCH,"Match Group, Inc.",69.26,19470767575,,2015,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/mtch,NASDAQ,1575189,7370
MTLS,Materialise NV,15.8,271578157.8,17188491,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mtls,NASDAQ,1091223,7372
MTRX,Matrix Service Company,18.93,507460352.8,,1990,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/mtrx,NASDAQ,866273,1700
MAT,"Mattel, Inc.",10.94,3778949949,,,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/mat,NASDAQ,63276,3942
