87, NATURAL GAS TRANSMISSION, PIPE LINES, NATURAL GAS DISTRIBUTION
88, PETROLEUM REFINING, INDUSTRIAL ORGANIC CHEMICALS, WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS
89, WATER SUPPLY, RETAIL-AUTO DEALERS & GASOLINE STATIONS, REAL ESTATE
90, REAL ESTATE INVESTMENT TRUSTS, SERVICES-NURSING & PERSONAL CARE FACILITIES, SERVICES-SKILLED NURSING CARE FACILITIES
91, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE, OPERATORS OF NONRESIDENTIAL BUILDINGS
92, SERVICES-EQUIPMENT RENTAL & LEASING, REAL ESTATE INVESTMENT TRUSTS
93, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE, OPERATORS OF NONRESIDENTIAL BUILDINGS
94, RETAIL-EATING PLACES, WHOLESALE-GROCERIES & RELATED PRODUCTS, RETAIL-EATING & DRINKING PLACES
95, REAL ESTATE INVESTMENT TRUSTS, HOTELS & MOTELS, SERVICES-MANAGEMENT CONSULTING SERVICES
96, WATER TRANSPORTATION, SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION, SERVICES-BUSINESS SERVICES
97, RETAIL-AUTO DEALERS & GASOLINE STATIONS, SHIP & BOAT BUILDING & REPAIRING, ENGINES & TURBINES
98, REAL ESTATE INVESTMENT TRUSTS, AGRICULTURAL PRODUCTION-CROPS
99, SERVICES-PERSONAL SERVICES, REFUSE SYSTEMS
100, OPERATIVE BUILDERS, REAL ESTATE, LAND SUBDIVIDERS & DEVELOPERS
