,cik-year,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10
13680,77159-2017,3.8913675021045835,3.671953957789625,3.328076477291043,3.739067191375054,3.5192735829981348,4.565225503950439,3.7352096062925773,4.471015900017934,4.1064707651041825,4.00922704976038
13681,77159-2018,4.004565970616459,3.8234104369890085,3.4647739840002565,3.8359970740449976,3.6883862676691104,4.78405017263543,3.8899416100017774,4.58895875103127,4.217026485209281,4.168354742106014
13682,771856-2009,3.4274658199797385,3.6641501411094035,3.346557644919907,3.3815627089692417,3.3427304541348666,4.563562380592331,3.8487028805572625,4.399034565452473,4.030461299382681,4.0473011312641445
13683,771856-2010,3.8514126744839245,4.017175651185915,3.7703718125390453,3.7940332802392907,3.7652612023107332,4.973948172256143,4.268798664810613,4.7945968242891235,4.406446765118268,4.439292651866358
13684,771856-2011,3.9929722115486546,4.125027493163522,3.8742989916779633,3.8746151055418276,3.8641837202488696,5.085228490567879,4.377066596519083,4.867046934103728,4.57197084101605,4.524475595040426
13685,771856-2012,4.130307623043589,4.237963843659859,4.021316608380067,4.028164551859761,4.01447891961081,5.204475731009486,4.505663130535248,4.959588857206201,4.702936162980394,4.639501896585383
13686,771856-2013,4.396235341881103,4.416449106550291,4.248971207687017,4.1982792141067415,4.253320348332446,5.3629486821128545,4.688858065921822,5.170226939558794,4.911865891905279,4.808967302415413
13687,771856-2014,4.550646726178684,4.563305016525104,4.401620510618173,4.366341808389045,4.411396415668836,5.474990476216893,4.839152169237119,5.29897451635874,5.044513221160769,4.9738263334716715
13688,771856-2015,4.256748313360661,4.201692502458937,4.050900190853633,4.028064367216091,4.0942941562756765,5.136572132133313,4.473303858045229,4.927945342856874,4.745711503829168,4.637515992407467
13689,771856-2016,3.857604752648987,3.8108251315971313,3.6261878462460744,3.5739341935783466,3.6638035887112954,4.846772214001334,4.067247238961947,4.506372908767389,4.371763104260958,4.286266922767731
13690,771856-2017,4.24863107952538,4.190117866126453,4.027513848867699,3.988860060560943,4.056134611755548,5.139066563916661,4.434191289944803,4.818983332508917,4.725038890786556,4.637559049350747
13691,771856-2018,4.492364674130671,4.475969458228782,4.281931960754744,4.239458535896059,4.304059038545312,5.344117154225653,4.695817220474314,5.083609656726071,4.971530478039663,4.903083666478391
13692,772406-2008,3.7043553334547292,3.62485300551023,3.23766317817332,3.4804702429612098,3.004346682695414,4.389765608671709,3.6200977473917257,4.3419934369490125,3.9978447983747194,3.9941420548072806
13693,772406-2009,3.8097554764740265,3.7616832714949124,3.3514111074287505,3.597264231022157,3.1244073832629495,4.322552210931061,3.731358625291729,4.463017833490999,4.129105351091854,4.12670723963738
13694,772406-2010,3.8654814719044195,3.800476589193988,3.4106427076035852,3.647564116977912,3.2255081149353173,4.410114018126203,3.8074490100781713,4.532416721669917,4.184636314862659,4.152219640608755
13695,772406-2011,4.047113946623296,3.9181201864234474,3.5937007987533303,3.813637677835039,3.402329324529173,4.530375623405292,3.957773856610699,4.6453557467408775,4.293111382410108,4.271891199326867
13696,772406-2012,4.111942488675792,3.9902347770772986,3.6753417502221786,3.9035958397150723,3.5124096998361325,4.631168604336159,4.021911846116179,4.672564976081193,4.422788132960939,4.35638678346574
13697,772406-2013,4.166500412315261,4.179693979288701,3.762622307989425,3.981120828587595,3.5401827599637166,4.642331770976037,4.1713424550119385,4.879743882983833,4.465315834817489,4.52753295370315
13698,772406-2014,4.302428673333423,4.324963166248107,3.9126772896307425,4.118805223974084,3.702918635015465,4.778847061137546,4.285968384206981,4.980353812389073,4.595260300167791,4.641578363944778
13699,772406-2015,4.340941002423675,4.256284585454926,3.944733450546741,4.124394142927301,3.772160953893988,4.8623073162778425,4.280087292236956,4.88051978843479,4.594271283062923,4.578295821155984
13700,772406-2016,4.426861020886488,4.2652415050371655,4.010515400905545,4.192162472092244,3.8492026373935,4.991211601183864,4.31529548753488,4.858004059804437,4.5852022797720515,4.6159568368242665
13701,772406-2017,4.438456243373904,4.260837629374077,4.008394251104346,4.20925728427332,3.842110572350461,4.975586638853572,4.304645613770775,4.837637700505051,4.607410004416722,4.598733748780708
13702,772406-2018,4.386663667305214,4.323127293375811,3.992545531104028,4.173309622790637,3.7974133105042367,4.915991202416968,4.31617634680034,4.907505273969366,4.603755022824481,4.662618551266442
13703,774569-2008,4.583635546416878,4.259936442494362,4.08897754567758,4.351239948196995,4.158524559542492,4.680845334830869,4.0075168002023025,4.717586773692686,4.323331902158662,4.121301226010955
13704,774569-2009,3.7705967705880568,3.4483410111843162,3.2045113825268414,3.39905866402498,3.259170968569884,4.2100222549291555,2.9978958169147063,4.017249565676423,3.714414888836488,3.4428602243334017
13705,774569-2010,3.7777994151763092,3.3930386647001063,3.159047448704795,3.381394934390011,3.1593558531293313,4.184069000686348,3.0588914722849596,4.038941850682311,3.679862709638777,3.448880307260777
13706,774569-2011,6.144000151465269,6.021096928350961,6.067971534897686,6.138738620261052,6.05575338518973,6.1163475072942655,5.794679602761912,6.2566565658528,6.031325742150898,5.655819531033264
13707,774569-2012,3.5127320048004296,3.2930048227666204,3.0213344140109197,3.2109142081843776,3.1074681894130696,4.062421528001275,2.406000314697065,3.8499438982309973,3.636722676880994,3.2416153538165
13708,774569-2013,3.576831871025706,3.289132887417335,3.014370154898061,3.237389342517764,3.0756436561509255,4.0938156783910795,2.423138439185908,3.9695330981147565,3.6853357866148015,3.284537245243812
13709,774569-2014,3.5991630869684483,3.2016613181098212,2.963996509317869,3.240974363946252,3.0636242849664623,4.010889061193927,2.4320337419553772,3.9595396081004983,3.6542023788678817,3.2115773487272357
13710,774569-2015,3.6520138628461565,3.275314549771809,3.03797571988208,3.3027485487182964,3.1434679874819853,4.076149573655116,2.475700144057675,3.9778001242148977,3.7086362704473586,3.3091916333266815
13711,774569-2016,3.5755331670334467,3.1835283108499444,2.969860535726541,3.2442018749517465,3.0626918440726913,3.9687768991466337,2.478098611574564,3.9085704346882784,3.6166065081745242,3.175995709093636
13712,774569-2017,3.608305888774507,3.165198395176062,2.990101802411496,3.2777150102418364,3.1090065751084452,3.978141188452249,2.4682607295624135,3.9560785094776367,3.6494076598935417,3.231892436288373
13713,774569-2018,3.7389406643838115,3.371819569002006,3.170316710576607,3.4298593597324336,3.248586872758703,4.142021088468694,2.6638737913161643,4.085190081021489,3.7669996078680446,3.384393308889508
13714,77476-2008,3.98728858550925,4.109396041097079,3.5234478934206743,3.8447418054209415,3.685115722093275,4.480995615117428,4.049703746190053,4.7389011754401436,4.380086723062798,4.384786832270833
13715,77476-2009,4.270726599855483,4.35746373464106,3.818056288750676,4.143427393016701,3.965862941017883,4.650789985148801,4.308691204032543,4.978336377169227,4.6631988608931065,4.6268369828835025
