Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CIK
DERM,"Dermira, Inc.",10.15,$544.73M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/derm,1557883
DEST,Destination Maternity Corporation,1.95,$27.96M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/dest,896985
DFBH,DFB Healthcare Acquisitions Corp.,10.04,$313.75M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/dfbh,1725255
DFBHU,DFB Healthcare Acquisitions Corp.,10.33,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/dfbhu,1725255
DFBHW,DFB Healthcare Acquisitions Corp.,0.8,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/dfbhw,1725255
DFFN,Diffusion Pharmaceuticals Inc.,3.98,$13.45M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dffn,1053691
DFNL,Davis Select Financial ETF,22.74,$143.26M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dfnl,
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",5.47,$182.79M,2012,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/dfrg,1415301
DFVL,Barclays PLC,67.1316,$4.78M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dfvl,
DFVS,Barclays PLC,30.775,$4.19M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dfvs,
DGICA,"Donegal Group, Inc.",14.02,$398.54M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/dgica,800457
DGICB,"Donegal Group, Inc.",12.37,$351.64M,1986,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/dgicb,800457
DGII,Digi International Inc.,11.67,$327.45M,1989,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/dgii,854775
DGLD,Credit Suisse AG,45.71,$18.47M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/dgld,1159510
DGLY,"Digital Ally, Inc.",4.58,$50.67M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/dgly,1342958
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,23.4,$70.2M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dgre,
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,34.73,$116.35M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dgrs,
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,42.21,$2.62B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dgrw,
DHIL,"Diamond Hill Investment Group, Inc.",138.86,$485.28M,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/dhil,909108
DHXM,DHX Media Ltd.,1.43,$192.93M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dhxm,1490186
DINT,Davis Select International ETF,17.44,$110.74M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dint,
DIOD,Diodes Incorporated,35.91,$1.82B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/diod,29002
DISCA,"Discovery, Inc.",27.34,$14.35B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/disca,1437107
DISCB,"Discovery, Inc.",32.02,$16.81B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/discb,1437107
