Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CIK
MBII,"Marrone Bio Innovations, Inc.",1.65,$182.68M,2013,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/mbii,1441693
MBIN,Merchants Bancorp,21.65,$621.45M,2017,Finance,Major Banks,https://www.nasdaq.com/symbol/mbin,1629019
MBINP,Merchants Bancorp,26.75,$53.5M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mbinp,1629019
MBIO,"Mustang Bio, Inc.",4.22,$165.68M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mbio,1680048
MBOT,Microbot Medical Inc.,7.2,$31.01M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/mbot,883975
MBRX,"Moleculin Biotech, Inc.",1.23,$42.29M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mbrx,1659617
MBSD,FlexShares Disciplined Duration MBS Index Fund,23.265,$51.18M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mbsd,
MBTF,M B T Financial Corp,9.69,$223.23M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mbtf,1118237
MBUU,"Malibu Boats, Inc.",41.79,$871.37M,2014,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/mbuu,1590976
MBWM,Mercantile Bank Corporation,33.04,$542.61M,1998,Finance,Major Banks,https://www.nasdaq.com/symbol/mbwm,1042729
MCBC,Macatawa Bank Corporation,10.31,$350.99M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mcbc,1053584
MCEF,First Trust Municipal CEF Income Opportunity ETF,18.75,$9.38M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mcef,
MCEP,"Mid-Con Energy Partners, LP",0.7001,$21.55M,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mcep,1527709
MCFT,"MasterCraft Boat Holdings, Inc.",24.86,$465.49M,2015,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/mcft,1638290
MCHI,iShares MSCI China ETF,57.84,$4.43B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mchi,
MCHP,Microchip Technology Incorporated,83.61,$19.81B,1993,Technology,Semiconductors,https://www.nasdaq.com/symbol/mchp,827054
MCHX,"Marchex, Inc.",5.09,$215.29M,2004,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/mchx,1224133
MCRB,"Seres Therapeutics, Inc.",4.26,$175.06M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mcrb,1609809
MCRI,"Monarch Casino & Resort, Inc.",41.33,$743.35M,1993,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/mcri,907242
MDB,"MongoDB, Inc.",127.84,$7.03B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mdb,1441816
MDCA,MDC Partners Inc.,3.08,$221.45M,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/mdca,876883
MDCO,The Medicines Company,31.12,$2.3B,2000,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mdco,1113481
MDGL,"Madrigal Pharmaceuticals, Inc.",99.88,$1.54B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mdgl,1157601
MDGS,Medigus Ltd.,2.8,$10.63M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mdgs,1618500
MDGSW,Medigus Ltd.,0.45,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mdgsw,1618500
MDIV,First Trust Multi-Asset Diversified Income Index Fund,18.54,$654.46M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mdiv,
MDJH,MDJM LTD,2.97,$34.52M,2019,Finance,Real Estate,https://www.nasdaq.com/symbol/mdjh,1741534
MDLZ,"Mondelez International, Inc.",51.19,$73.74B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/mdlz,1103982
MDRR,"Medalist Diversified REIT, Inc.",5.04,$11.7M,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/mdrr,1654595
MDRX,"Allscripts Healthcare Solutions, Inc.",9.84,$1.64B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx,1124804
MDSO,"Medidata Solutions, Inc.",88.42,$5.51B,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mdso,1453814
MDWD,MediWound Ltd.,4.31,$117.14M,2014,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/mdwd,1593984
MEDP,"Medpace Holdings, Inc.",53.75,$1.92B,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/medp,1668397
MEET,"The Meet Group, Inc.",4.09,$308.73M,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/meet,1078099
MEIP,"MEI Pharma, Inc.",2.99,$213.16M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/meip,1262104
MELI,"MercadoLibre, Inc.",543.03,$26.78B,2007,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/meli,1099590
MELR,"Melrose Bancorp, Inc.",18.8999,$46.12M,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/melr,1600890
MEOH,Methanex Corporation,47.17,$3.64B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/meoh,886977
MERC,Mercer International Inc.,16.41,$1.07B,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/merc,75659
MESA,"Mesa Air Group, Inc.",8.81,$246.41M,2018,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/mesa,810332
MESO,Mesoblast Limited,5.3366,$530.9M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/meso,
METC,"Ramaco Resources, Inc.",6.26,$255.61M,2017,Energy,Coal Mining,https://www.nasdaq.com/symbol/metc,1687187
MFIN,Medallion Financial Corp.,7.52,$184.99M,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/mfin,1000209
MFINL,Medallion Financial Corp.,25.83,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/mfinl,1000209
MFNC,Mackinac Financial Corporation,15.75,$169.17M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mfnc,36506
MFSF,MutualFirst Financial Inc.,30.18,$260.07M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mfsf,1094810
MGEE,MGE Energy Inc.,69.26,$2.4B,n/a,Energy,Electric Utilities: Central,https://www.nasdaq.com/symbol/mgee,1161728
MGEN,"Miragen Therapeutics, Inc.",2.75,$85.06M,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/mgen,1590750
MGI,"Moneygram International, Inc.",2.04,$115.04M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/mgi,1273931
MGIC,Magic Software Enterprises Ltd.,8.96,$438.06M,1991,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mgic,876779
MGLN,"Magellan Health, Inc.",69.07,$1.66B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/mgln,19411
MGNX,"MacroGenics, Inc.",16.25,$793.09M,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mgnx,1125345
MGPI,"MGP Ingredients, Inc.",65.22,$1.11B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/mgpi,835011
MGRC,McGrath RentCorp,60.73,$1.47B,1984,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/mgrc,752714
MGTA,"Magenta Therapeutics, Inc.",16.1,$632.65M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mgta,1690585
MGTX,MeiraGTx Holdings plc,17.78,$592.83M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/mgtx,1735438
MGYR,"Magyar Bancorp, Inc.",11.4,$66.36M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/mgyr,1337068
MHLD,"Maiden Holdings, Ltd.",0.6587,$54.7M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/mhld,1412100
MICT,"MICT, Inc.",1,$10.73M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/mict,854800
MIDD,The Middleby Corporation,134.5,$7.49B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/midd,769520
MIK,"The Michaels Companies, Inc.",10.86,$1.72B,2014,Consumer Services,Recreational Products/Toys,https://www.nasdaq.com/symbol/mik,1593936
MILN,Global X Millennials Thematic ETF,23.595,$46.01M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/miln,
MIME,Mimecast Limited,47.45,$2.87B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mime,1644675
MIND,"Mitcham Industries, Inc.",3.65,$44.24M,1994,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/mind,926423
MINDP,"Mitcham Industries, Inc.",24.95,$19.91M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/mindp,926423
MINI,"Mobile Mini, Inc.",33.3,$1.5B,1994,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/mini,911109
MIST,Milestone Pharmaceuticals Inc.,18.45,n/a,2019,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mist,
MITK,"Mitek Systems, Inc.",10.37,$413.22M,n/a,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/mitk,807863
MITO,Stealth BioTherapeutics Corp.,14.45,$497.68M,2019,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mito,1696396
MJCO,Majesco,7.9,$339M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mjco,1626853
MKGI,"Monaker Group, Inc.",3.34,$35.49M,n/a,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/mkgi,1372183
MKSI,"MKS Instruments, Inc.",79.55,$4.32B,1999,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mksi,1049502
MKTX,"MarketAxess Holdings, Inc.",281.65,$10.62B,2004,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/mktx,1278021
MLAB,"Mesa Laboratories, Inc.",253.8,$981.82M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mlab,724004
MLCO,Melco Resorts & Entertainment Limited,21.33,$9.81B,n/a,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/mlco,1381640
MLHR,"Herman Miller, Inc.",37.2,$2.19B,n/a,Consumer Durables,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/mlhr,66382
MLND,"Millendo Therapeutics, Inc. ",16.34,$218.27M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mlnd,1544227
MLNT,"Melinta Therapeutics, Inc.",3.18,$37.46M,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mlnt,1461993
MLNX,"Mellanox Technologies, Ltd.",117.3,$6.4B,2007,Technology,Semiconductors,https://www.nasdaq.com/symbol/mlnx,1356104
MLVF,"Malvern Bancorp, Inc.",20.14,$156.77M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/mlvf,1550603
MMAC,"MMA Capital Holdings, Inc.",31.51,$185.4M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/mmac,1003201
MMDM,Modern Media Acquisition Corp.,10.4,$269.1M,2017,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/mmdm,1695098
MMDMR,Modern Media Acquisition Corp.,0.33,n/a,2017,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/mmdmr,1695098
MMDMU,Modern Media Acquisition Corp.,10.7,n/a,2017,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/mmdmu,1695098
MMDMW,Modern Media Acquisition Corp.,0.318,n/a,2017,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/mmdmw,1695098
MMLP,Martin Midstream Partners L.P.,7.36,$287.4M,2002,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/mmlp,1176334
MMSI,"Merit Medical Systems, Inc.",55.29,$3.04B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmsi,856982
MMYT,MakeMyTrip Limited,22.66,$1.34B,2010,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/mmyt,1495153
MNCL,Monocle Acquisition Corporation,9.851,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/mncl,1754170
MNCLU,Monocle Acquisition Corporation,10.13,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/mnclu,1754170
MNCLW,Monocle Acquisition Corporation,0.31,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/mnclw,1754170
MNDO,MIND C.T.I. Ltd.,2.13,$42.2M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mndo,1119083
MNKD,MannKind Corporation,1.23,$230.97M,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnkd,899460
MNLO,Menlo Therapeutics Inc.,6.75,$161.52M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnlo,1566044
MNOV,"MediciNova, Inc.",12.73,$548.17M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnov,1226616
MNRO,"Monro, Inc. ",79.27,$2.62B,1991,Consumer Services,Automotive Aftermarket,https://www.nasdaq.com/symbol/mnro,876427
MNSB,"MainStreet Bancshares, Inc.",24.88,$205.25M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mnsb,
MNST,Monster Beverage Corporation,62.34,$33.89B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/mnst,865752
MNTA,"Momenta Pharmaceuticals, Inc.",13.76,$1.36B,2004,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/mnta,1235010
MNTX,"Manitex International, Inc.",7.07,$139.16M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mntx,1302028
MOBL,"MobileIron, Inc.",5.34,$580.57M,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mobl,1470099
MOFG,"MidWestOne Financial Group, Inc.",28.44,$462.5M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mofg,1412665
MOGO,Mogo Finance Technology Inc.,3.1,$71.81M,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/mogo,1602842
MOMO,Momo Inc.,27.83,$5.76B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/momo,1610601
MOR,MorphoSys AG,24.06,$3.04B,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mor,1340243
MORN,"Morningstar, Inc.",131.15,$5.59B,2005,Finance,Investment Managers,https://www.nasdaq.com/symbol/morn,1289419
MOSY,"MoSys, Inc.",0.1991,$8.59M,2001,Technology,Semiconductors,https://www.nasdaq.com/symbol/mosy,890394
MOTS,"Motus GI Holdings, Inc.",3.63,$77.87M,2018,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mots,1686850
MOXC,"Moxian, Inc.",1.26,$16.97M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/moxc,1516805
MPAA,"Motorcar Parts of America, Inc.",20.07,$377.5M,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/mpaa,918251
MPB,Mid Penn Bancorp,25.02,$211.73M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mpb,879635
MPVD,Mountain Province Diamonds Inc.,1.15,$241.63M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/mpvd,
MPWR,"Monolithic Power Systems, Inc.",126.52,$5.45B,2004,Technology,Semiconductors,https://www.nasdaq.com/symbol/mpwr,1280452
MRAM,"Everspin Technologies, Inc.",7.05,$120.78M,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/mram,1438423
MRBK,Meridian Corporation,17.5,$112.12M,2017,n/a,n/a,https://www.nasdaq.com/symbol/mrbk,64908
MRCC,Monroe Capital Corporation,12.12,$247.79M,2012,n/a,n/a,https://www.nasdaq.com/symbol/mrcc,1512931
MRCCL,Monroe Capital Corporation,25.0375,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mrccl,1512931
MRCY,Mercury Systems Inc,72.07,$3.49B,1998,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/mrcy,1049521
MREO,Mereo BioPharma Group plc,5.25,$100.82M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mreo,1041609
MRIN,Marin Software Incorporated,4,$24.04M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mrin,1389002
MRKR,"Marker Therapeutics, Inc.",5.8,$263.9M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrkr,1094038
MRLN,Marlin Business Services Corp.,21.1,$260.56M,2003,Finance,Major Banks,https://www.nasdaq.com/symbol/mrln,1260968
MRNA,"Moderna, Inc.",24.43,$8.04B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/mrna,1682852
MRNS,"Marinus Pharmaceuticals, Inc.",4.47,$234.92M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrns,1267813
MRSN,"Mersana Therapeutics, Inc.",6.38,$304.22M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrsn,1442836
MRTN,"Marten Transport, Ltd.",18.92,$1.03B,1986,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/mrtn,799167
MRTX,"Mirati Therapeutics, Inc.",64.2,$2.31B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrtx,1576263
MRUS,Merus N.V.,13.62,$318.15M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrus,1651311
MRVL,Marvell Technology Group Ltd.,22.14,$14.59B,2000,Technology,Semiconductors,https://www.nasdaq.com/symbol/mrvl,1058057
MSBF,MSB Financial Corp.,16.94,$90.91M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/msbf,1374783
MSBI,"Midland States Bancorp, Inc.",25.74,$619.39M,2016,Finance,Major Banks,https://www.nasdaq.com/symbol/msbi,1466026
MSEX,Middlesex Water Company,62.2,$1.02B,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/msex,66004
MSFT,Microsoft Corporation,123.35,$945.21B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/msft,789019
MSG,The Madison Square Garden Company,302.26,$7.18B,2015,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/msg,1636519
MSON,"MISONIX, Inc.",18.71,$180.39M,1992,Capital Goods,Medical Specialities,https://www.nasdaq.com/symbol/mson,880432
MSTR,MicroStrategy Incorporated,135.05,$1.38B,1998,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mstr,1050446
MSVB,"Mid-Southern Bancorp, Inc.",12.6,$44.92M,2018,Finance,Savings Institutions,https://www.nasdaq.com/symbol/msvb,1734875
MTBC,"MTBC, Inc.",4.99,$60.02M,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mtbc,1582982
MTBCP,"MTBC, Inc.",27.36,$18.45M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mtbcp,1582982
MTC,"MMTec, Inc.",4.4317,$88.94M,2019,n/a,n/a,https://www.nasdaq.com/symbol/mtc,1742518
MTCH,"Match Group, Inc.",69.24,$19.47B,2015,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/mtch,1575189
MTEC,MTech Acquisition Corp.,10.1863,$75.7M,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/mtec,1719893
MTECU,MTech Acquisition Corp.,10.93,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/mtecu,1719893
MTECW,MTech Acquisition Corp.,0.75,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/mtecw,1719893
MTEM,"Molecular Templates, Inc.",6.96,$255.86M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtem,1183765
MTEX,"Mannatech, Incorporated",17.79,$42.61M,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/mtex,1056358
MTFB,Motif Bio plc,1.9299,$33.05M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtfb,1674657
MTFBW,Motif Bio plc,0.24,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtfbw,1674657
MTLS,Materialise NV,15.24,$806.06M,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mtls,1091223
MTP,Midatech Pharma PLC,1.64,$335.71M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtp,1643918
MTRX,Matrix Service Company,21.41,$573.94M,1990,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/mtrx,866273
MTSC,MTS Systems Corporation,55.12,$989.65M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mtsc,68709
MTSI,"MACOM Technology Solutions Holdings, Inc.",13.9,$913.24M,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/mtsi,1493594
MTSL,MER Telemanagement Solutions Ltd.,1.06,$3.49M,1997,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/mtsl,1025561
MU,"Micron Technology, Inc.",37.38,$41.37B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/mu,723125
MUDS,Mudrick Capital Acquisition Corporation,10.15,$263.9M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/muds,1718405
MUDSU,Mudrick Capital Acquisition Corporation,10.46,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/mudsu,1718405
MUDSW,Mudrick Capital Acquisition Corporation,0.48,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/mudsw,1718405
MVBF,MVB Financial Corp.,15.91,$185.21M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mvbf,
MVIS,"Microvision, Inc.",0.8697,$90.03M,1996,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mvis,65770
MXIM,"Maxim Integrated Products, Inc.",53.42,$14.55B,1988,Technology,Semiconductors,https://www.nasdaq.com/symbol/mxim,743316
MXWL,"Maxwell Technologies, Inc.",4.4,$204.96M,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mxwl,319815
MYFW,"First Western Financial, Inc.",13.19,$105.1M,2018,Finance,Major Banks,https://www.nasdaq.com/symbol/myfw,1327607
MYGN,"Myriad Genetics, Inc.",26.84,$1.97B,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/mygn,899923
MYL,Mylan N.V.,20.08,$10.35B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myl,1623613
MYND,"MYnd Analytics, Inc.",1.16,$9.77M,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/mynd,
MYNDW,"MYnd Analytics, Inc.",0.0709,n/a,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/myndw,
MYOK,"MyoKardia, Inc.",45.9,$2.11B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myok,1552451
MYOS,MYOS RENS Technology Inc.,1.21,$11.1M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myos,1402479
MYRG,"MYR Group, Inc.",32.38,$537.83M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/myrg,700923
MYSZ,"My Size, Inc.",0.64,$19.11M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mysz,1211805
MYT,"Urban Tea, Inc.",1.8795,$43.48M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/myt,1543268
NAII,"Natural Alternatives International, Inc.",12.5,$94.04M,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/naii,787253
NAKD,Naked Brand Group Limited,0.2459,$12.99M,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/nakd,1707919
NANO,Nanometrics Incorporated,32,$785.11M,1984,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/nano,704532
NAOV,"NanoVibronix, Inc.",3.2,$13.06M,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/naov,
NATH,"Nathan&#39;s Famous, Inc.",67.45,$281.75M,1993,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/nath,69733
NATI,National Instruments Corporation,40.63,$5.36B,1995,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/nati,935494
NATR,"Nature&#39;s Sunshine Products, Inc.",9.3,$179.24M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/natr,275053
NAVG,"The Navigators Group, Inc.",69.88,$2.09B,1986,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/navg,793547
NAVI,Navient Corporation,13.23,$3.17B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/navi,1593538
NBEV,New Age Beverages Corporation,5.15,$388.27M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/nbev,1579823
NBIX,"Neurocrine Biosciences, Inc.",76.23,$6.96B,1996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nbix,914475
NBN,Northeast Bancorp,20.92,$189.15M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nbn,811831
NBRV,Nabriva Therapeutics plc,2.61,$189.37M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nbrv,1641640
NBTB,NBT Bancorp Inc.,37.26,$1.63B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nbtb,790359
NCBS,Nicolet Bankshares Inc.,59.4,$558.19M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ncbs,
NCLH,Norwegian Cruise Line Holdings Ltd.,55.29,$11.91B,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/nclh,1513761
NCMI,"National CineMedia, Inc.",7.46,$589.1M,2007,Consumer Services,Advertising,https://www.nasdaq.com/symbol/ncmi,1377630
NCNA,NuCana plc,14.24,$458.9M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ncna,1709626
NCSM,"NCS Multistage Holdings, Inc.",2.99,$139.54M,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ncsm,1692427
NCTY,The9 Limited,1.4024,$42.69M,2004,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ncty,1296774
NDAQ,"Nasdaq, Inc.",90.9,$15.06B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ndaq,1120193
NDLS,Noodles & Company,8.36,$367.4M,2013,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/ndls,1275158
NDRA,ENDRA Life Sciences Inc.,1.38,$10.24M,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/ndra,
NDRAW,ENDRA Life Sciences Inc.,0.5023,n/a,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/ndraw,
