Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,CIK
SID,National Steel Company,4.25,5865486824.75,,,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/sid,NYSE,0001049659
NSA,National Storage Affiliates Trust,29.97,1704779404.11,,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nsa,NYSE,0001618563
NSA^A,National Storage Affiliates Trust,25.2504,0,,,,,https://www.nasdaq.com/symbol/nsa^a,NYSE,0001618563
NGS,"Natural Gas Services Group, Inc.",15.86,209749721.22,,2002,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ngs,NYSE,0001084991
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",10.96,245926935.44,,2012,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/ngvc,NYSE,0001547459
NRP,Natural Resource Partners LP,40.07,491306243.93,,2002,Energy,Coal Mining,https://www.nasdaq.com/symbol/nrp,NYSE,0001171486
NTZ,"Natuzzi, S.p.A.",3.45,37848601.05,,1993,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/ntz,NYSE,0000900391
NLS,"Nautilus Group, Inc. (The)",2.98,88418319.46,,,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/nls,NYSE,0001078207
NCI,"Navigant Consulting, Inc.",22.7,893168047,,,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/nci,NYSE,0001019737
NVGS,Navigator Holdings Ltd.,9.99,557762369.31,,2013,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nvgs,NYSE,0001581804
NNA,Navios Maritime Acquisition Corporation,7.67,105296605.57,,,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nna,NYSE,0001437260
NM,Navios Maritime Holdings Inc.,3.86,50156091.16,,,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nm,NYSE,0001333172
NM^G,Navios Maritime Holdings Inc.,8.19,0,,,,,https://www.nasdaq.com/symbol/nm^g,NYSE,0001333172
NM^H,Navios Maritime Holdings Inc.,7,0,,,,,https://www.nasdaq.com/symbol/nm^h,NYSE,0001333172
