"","Symbol","Name","LastSale","MarketCap","ADR.TSO","IPOyear","Sector","Industry","Summary.Quote","X.x","X.y","finance_site","website","description","keywords"
"1982","PIHPP","1347 Property Insurance Holdings, Inc.","25.3",17710000,"n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",NA,3,"https://finance.yahoo.com/quote/PIHPP","http://www.1347pih.com",NA,NA
"1983","PINC","Premier, Inc.","37.9",2343479341.2,"n/a","2013","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/pinc",NA,2033,"https://finance.yahoo.com/quote/PINC","http://www.premierinc.com","Homepage",NA
"1984","PIRS","Pieris Pharmaceuticals, Inc.","3.59",176531407.46,"n/a","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/pirs",NA,1995,"https://finance.yahoo.com/quote/PIRS","http://www.pieris.com",NA,NA
"1985","PIXY","ShiftPixy, Inc.","0.7623",26443048.1238,"n/a","2017","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/pixy",NA,2269,"https://finance.yahoo.com/quote/PIXY","http://www.shiftpixy.com","WHY SHIFTPIXY®A powerful scheduling and recruiting platform opening real-time access to thousands of mobilized, contingent shift workers.",NA
"1986","PKBK","Parke Bancorp, Inc.","21.14",227465617.82,"n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/pkbk",NA,1930,"https://finance.yahoo.com/quote/PKBK","http://www.parkebank.com",NA,NA
"1987","PKOH","Park-Ohio Holdings Corp.","33.4",421911772.6,"n/a","n/a","Capital Goods","Industrial Specialties","https://www.nasdaq.com/symbol/pkoh",NA,1931,"https://finance.yahoo.com/quote/PKOH","http://www.pkoh.com",NA,NA
"1988","PLAB","Photronics, Inc.","8.7",583348093.5,"n/a","1987","Technology","Semiconductors","https://www.nasdaq.com/symbol/plab",NA,1991,"https://finance.yahoo.com/quote/PLAB","http://www.photronics.com",NA,NA
"1989","PLAY","Dave & Buster&#39;s Entertainment, Inc.","53.83",1959391544.6,"n/a","2014","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/play",NA,755,"https://finance.yahoo.com/quote/PLAY","http://ir.daveandbusters.com",NA,NA
"1990","PLBC","Plumas Bancorp","24.75",127550610,"n/a","n/a","Finance","Finance Companies","https://www.nasdaq.com/symbol/plbc",NA,2007,"https://finance.yahoo.com/quote/PLBC","http://www.plumasbank.com",NA,NA
"1991","PLCE","Children&#39;s Place, Inc. (The)","106.63",1682835832.93,"n/a","1997","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/plce",NA,551,"https://finance.yahoo.com/quote/PLCE","http://www.childrensplace.com","Check out The Children's Place for a great selection of kids clothes, baby clothes & more. Shop at the PLACE where big fashion meets little prices!",NA
"1992","PLL","Piedmont Lithium Limited","11.336",3801040.152,"335307","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pll",NA,1994,"https://finance.yahoo.com/quote/PLL","http://www.piedmontlithium.com",NA,NA
"1993","PLMR","Palomar Holdings, Inc.","22.3",504537500,"n/a","2019","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/plmr",NA,1921,"https://finance.yahoo.com/quote/PLMR","http://www.palomarspecialty.com","Palomar Specialty is committed to providing our policyholders with stable insurance options for personal and commercial catastrophe risks.",NA
"1994","PLPC","Preformed Line Products Company","50.84",257170581.2,"n/a","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/plpc",NA,2031,"https://finance.yahoo.com/quote/PLPC","http://www.preformed.com","Preformed Line Products (PLP) is a worldwide designer, manufacturer and supplier of high quality cable anchoring and control hardware and systems, fiber optic and copper splice closures, and high-speed cross-connect devices.","Helical,splice,transmission,distribution,energy,communications,"
"1995","PLSE","Pulse Biosciences, Inc","12.46",258051658.76,"n/a","2016","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/plse",NA,2067,"https://finance.yahoo.com/quote/PLSE","http://www.pulsebiosciences.com","",""
"1996","PLUG","Plug Power, Inc.","2.55",625807454.4,"n/a","1999","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/plug",NA,2006,"https://finance.yahoo.com/quote/PLUG","http://www.plugpower.com","Helping businesses achieve greater productivity and sustainability in an electrified world through hydrogen fuel cells.","Helping businesses achieve greater productivity and sustainability in an electrified world through hydrogen fuel cells."
"1997","PLUS","ePlus inc.","87.49",1190846075.25,"n/a","1996","Technology","Retail: Computer Software & Peripheral Equipment","https://www.nasdaq.com/symbol/plus",NA,886,"https://finance.yahoo.com/quote/PLUS","http://www.eplus.com","https://www.eplus.com/images/default-source/default-album/services-1920x7608f9d28731dff6ddbb37cff0000940c19abf128731dff6ddbb37cff0000940c19.jpg?sfvrsn=470e45b1_0","https://www.eplus.com/images/default-source/default-album/services-1920x7608f9d28731dff6ddbb37cff0000940c19abf128731dff6ddbb37cff0000940c19.jpg?sfvrsn=470e45b1_0"
"1998","PLXP","PLx Pharma Inc.","5.72",50070403.24,"n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/plxp",NA,2010,"https://finance.yahoo.com/quote/PLXP","http://plxpharma.com",NA,NA
"1999","PLXS","Plexus Corp.","54.64",1644943756.8,"n/a","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/plxs",NA,2005,"https://finance.yahoo.com/quote/PLXS","http://www.plexus.com","You have a product concept. Plexus can make it real. See how our integrated design, engineering and manufacturing solutions bring complex products to market.",NA
"2000","PLYA","Playa Hotels & Resorts N.V.","8.77",1143736462.96,"n/a","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/plya",NA,2004,"https://finance.yahoo.com/quote/PLYA","http://www.playaresorts.com","2861C0266D55B70751A64B27BBCE57E6",NA
"2001","PMBC","Pacific Mercantile Bancorp","7.95",175041176.1,"n/a","2000","Finance","Major Banks","https://www.nasdaq.com/symbol/pmbc",NA,1917,"https://finance.yahoo.com/quote/PMBC","http://www.pmbank.com","Pacific Mercantile Bank provides personal, small business, and commercial banking.",NA
"2002","PMD","Psychemedics Corporation","10.38",57165379.56,"n/a","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/pmd",NA,2062,"https://finance.yahoo.com/quote/PMD","http://www.psychemedics.com","The Leader in Superior Detection of Drug Abuse for over 25 Years. For Organizations who are serious about drug testing &amp; creating a drug free environment",NA
"2003","PME","Pingtan Marine Enterprise Ltd.","2.17",171549465.01,"n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pme",NA,1998,"https://finance.yahoo.com/quote/PME","http://www.ptmarine.com","",""
